,ts_code,symbol,name,area,industry,list_date
442,000981.SZ,000981,ST银亿,甘肃,汽车服务,20000622
443,000982.SZ,000982,*ST中绒,宁夏,农矿业,20000706
444,000983.SZ,000983,西山煤电,山西,煤炭开采,20000726
445,000985.SZ,000985,大庆华科,黑龙江,化学制药,20000726
446,000987.SZ,000987,越秀金控,广东,多元金融,20000718
447,000988.SZ,000988,华工科技,湖北,元器件,20000608
448,000989.SZ,000989,九芝堂,湖南,化学制药,20000628
449,000990.SZ,000990,诚志股份,江西,化学制药,20000706
450,000993.SZ,000993,闽东电力,福建,水力发电,20000731
451,000996.SZ,000996,中国中期,北京,汽车服务,20000718
452,000997.SZ,000997,新大陆,福建,软件服务,20000807
453,000998.SZ,000998,隆平高科,湖南,农矿业,20001211
454,000999.SZ,000999,华润三九,深圳,化学制药,20000309
455,001696.SZ,001696,宗申动力,重庆,摩托车,19970306
456,001872.SZ,001872,招商港口,深圳,港口,19930505
457,001896.SZ,001896,豫能控股,河南,火力发电,19980122
458,001965.SZ,001965,招商公路,天津,路桥,20171225
459,001979.SZ,001979,招商蛇口,深圳,地产,20151230
460,002001.SZ,002001,新和成,浙江,化学制药,20040625
